Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Xu et al. 2013 - Design of an ultra-compact stripline BPM receiver using microtca for LCLS-II at SLAC.pdf
Not valid csv text, check the article
Vukšic et al. 2017 - Social business process management - Croatian IT company case study.pdf
Modelo,UsadoOuCitado,Trecho
Process Performance Index (PPI),Usado para construir medidores,"""In this research Process Performance Index (PPI) has been used. It is a descriptive model which defines statements for ten BPM critical success factors and describes three levels of BPM maturity. Respondents state their level of agreement on a 5-point scale ... The cumulative score for an organization represents its PPI ..."""
Carroll and Wang 2011 - Service networks performance analytics - A literature review.pdf
Not valid csv text, check the article
Vo et al. 2018 - Next Generation Business Intelligence and Analytics.pdf
Indicador,TipoDeUso,ExemploDoTexto  
Maximal response time,medidor,…é um grande desafio cumprir objetivos de serviço como maximal response time…  
Minimal throughput rates,medidor,…é um grande desafio cumprir objetivos de serviço como … minimal throughput rates…  
Fast OLAP query response time,medidor,- Fast OLAP query response time.  
High throughput rates (OLTP e OLAP),medidor,- High throughput rates for both OLTP and OLAP  
Low latency,medidor,- Low latency  
Optimum space overhead,medidor,- Optimum space overhead  
Resource utilization,medidor,…resulta em low overall resource utilization.  
Reduce latency,citado,- Reduce latency  
Reduce effort to build data,citado,- Reduce effort to build data  
Low IT costs and workloads,medidor,- Low IT costs and workloads  
Real-time response,medidor,- Real-time response  
Flexible and scalable information structure,citado,- Flexible and scalable information structure
Dieu et al. 2009 - 1,000 tables under the form.pdf
modelo_indicador,uso,trecho_que_corrobor a_informação
KPI (Key Performance Indicator),Usado na construção de medidores,"…they depend on rich contextual information such as the context associated with a particular processing step in the workflow, and the strategic goals to which the operational decisions must contribute (e.g., a forecast value of some KPI)."
Métricas operacionais e de processo,Usado na construção de medidores,"…link awareness to insight (i.e., show impact of operational decisions, link operational and process metrics to business warehouse data)."
Scorecards,Apenas citados,"Strategy: handles planning and budgeting, scorecards and goals, process modeling and optimization"
Carlo Rossa Hauck et al. 2021 - How has process assessment been automated by organizations - A systematic literature mapping.pdf
Modelo,Uso,Trecho que corrobora  
"KPIs (Key Performance Indexes) – abordagem de Calabró, Lonetti & Marchetti [17]",Construção de medidores,…allowing the definition and assessment of user-defined KPIs (Key Performance Indexes).  
"Activity-Based Management methodology for evaluating business processes for environmental sustainability – Sarkis, Meade & Presley [36]",Apenas citado,…follow other approaches for business process measurement ([ 35 ][ 36 ]).  
Integrated approach based on execution measures for continuous improvement – Delgado et al. [40],Apenas citado,"…helps to detect deviations, as well as to discover improvement opportunities [ 40 ].  "
Process performance measurement system characteristics: an empirically validated framework – Abeygunasekera et al. [41],Apenas citado,…closing the link between organizational maturity and business process performance seems to be needed [ 41 ][ 42 ].  
"Business process performance measurement: review of indicators, measures and metrics – Van Looy & Shafagatova [42]",Apenas citado,…closing the link between organizational maturity and business process performance seems to be needed [ 41 ][ 42 ].  
Structured literature review on business process performance analysis and evaluation – Zemguliene & Valukonis [35],Apenas citado,…follow other approaches for business process measurement ([ 35 ][ 36 ]).
Panda et al. 2014 - e-government procurement implementation in India - two comparative case studies from the field.pdf
Not valid csv text, check the article
17th International Conference on Busi... 2019 - 17th International Conference on Business Process Management, BPM 2019.pdf
Modelo,Tipo de utilização,Trecho que corrobora
Lean Management,Usado para construir/gerir medidores de desempenho,"“Managers monitor and control everyday process operations to maintain performative fit, applying methods such as Lean Management to alter ostensive processes …”"
Six Sigma,Usado para construir/gerir medidores de desempenho,“… and Six Sigma to translate such changes into measurable performative improvements.”
Cimino et al. 2017 - Evaluating the impact of smart technologies on harbor’s logistics via BPMN modeling and simulation.pdf
Indicador,Uso,Trecho extraído do texto  
Key Performance Indicators (KPIs),apenas citado,"“Basicamente, um simulador de workflow ... fornece os Key Performance Indicators (KPIs) como resultado.”  "
Dwell time (tempo de permanência da carga no porto),usado como medidor,"“Nossa análise foca-se na avaliação de um KPI importante ... o dwell time da carga no porto, medido em número de dias que determinada quantidade de carga permanece no porto após um pico de demanda.”  "
Duração total do processo / Processing time,usado como medidor,"“All the tokens were processed in 17 days and 30 h of simulated time.” / “the total duration for processing the 5 vessels of 750 containers is 7 days, 15 h and 53 min.”  "
Uso de recursos (Resource usage/utilization),usado como medidor,"“resource usage against time has revealed that the resources PT, TR, and RTG are fully used in some intervals of the simulation.”  "
Tempo de fila (Queue time),usado como medidor,"“Finally, Fig. 5c shows the queue time at each task, which is important to determine the internal efficiency of the workflow.”  "
Throughput (tokens completados por unidade de tempo),usado como medidor,"“Both scenarios are characterized by the same linear trend ... after 11 and 15.5 h each scenario completed about 28 and 40 tokens, respectively.”  "
Custo (cost variável e fixo),apenas citado,“Cost can include the variable cost related to the duration (e.g. hourly wages ...) as well as a fixed additional cost (e.g. shipping cost).”
Seymour et al. 2019 - Applied business process management - An informati ... vice delivery in public hospitals of low- and middle-income countries.pdf
Not valid csv text, check the article
Ali et al. 2020 - Deep Analysis of Process Model Matching Techniques.pdf
indicador,usado_para_construir_medidores,trecho  
Precision,sim,"“Typically, the effectiveness of these matching techniques has been evaluated using three widely used performance measures, Precision, Recall, and F1 score.”  "
Recall,sim,"“Typically, the effectiveness of these matching techniques has been evaluated using three widely used performance measures, Precision, Recall, and F1 score.”  "
F1 score,sim,"“Typically, the effectiveness of these matching techniques has been evaluated using three widely used performance measures, Precision, Recall, and F1 score.”"
Borges et al. 2018 - Monitoring of Business Processes_ non Functional Requirements based on Quality of Service.pdf
Modelo,Uso,Trecho  
KPI,usado para construir medidores,"“KPI2BLA : apoia o mapeamento de metas estratégicas organizacionais, representadas por Indicadores Chave de Desempenho (KPI), que por sua vez é usado como fonte de dados para requisitos não funcionais de processos de negócio …”  "
KQI,apenas citado,"“Em [1], há o uso complementar de KQI além de KPI.”  "
QoS,usado para construir medidores,“StrAli-BAM monitora os mesmos requisitos não funcionais em nível de negócio com base nos mesmos atributos de QoS dos respectivos serviços web.”
Bandaranayake et al. 2024 - Analysing cross-border logistics operations ... ormance improvement - development and validation of a reference model.pdf
Modelo,Uso,Trecho que corrobora
LPI (Logistics Performance Index),Apenas citado,“Performance benchmarking as offered by the Logistics Performance Index (LPI) of the World Bank offers a means of comparing logistics performance among different countries.”
TRS (Time Release Study),Apenas citado,"“For example, the time release studies advocated by the World Customs Organisation (WCO) measure the time to release the import cargo from regulatory purview (WCO 2018).”"
Di Salle et al. 2024 - Waste Management Through Digital Twins and Business Process Modeling.pdf
Modelo de Indicador,Usado_para_construir_medidores?,Trecho_do_Texto
Key Performance Indicators (KPIs),Não,“Proper key performance indicators (KPIs) and publicly accessible dashboards must be designed.”
Índices derivados dos dados coletados,Não,"“Further, the indexes derived from the collected data could be used by administrations to demonstrate the impact of actions regarding littering management…”"
Indicador-chave de performance inovador para qualidade de serviço (Burkhart et al.),Sim,“…presents an innovative key performance indicator to measure service quality.”
Medjahed and Atif 2006 - Context-based matching for Web service composition.pdf
modelo,usado_para_construir_medidores,trecho_suporte
ISO 9000,não,“The international quality standard ISO 9000 describes quality as “the totality of features and characteristics of a product or service that bear on its ability to satisfy stated or implied needs” [45].”
HQML (Hierarchical QoS Markup Language),não,“Examples of category-specific languages for Web service contexts… Non-Functional WSCL … and HQML (Hierarchical QoS Markup Language)” (Tabela 1).
Modelo de QoS de Zeng et al. [54],sim,"“For QoS, we are adopting the QoS model presented in [54]… a QoS policy is composed of … price, duration, reputation, and availability [54]. Each QoS attribute corresponds to a context property.”"
Modelo analítico de tempo de matching (Tmatch),sim,"“In this section, we study the performance of the proposed framework … we define an analytical model and analyze the performance of our framework using that model. Table 3 defines the parameters…”"
Mezouar and El Afia 2018 - Performance analysis model for service supply chains - Case of the retirement supply chain.pdf
Modelo,Usado_para_construir_medidores,Trecho_que_corrobor a_informação
SCOR (Supply Chain Operations Reference),Sim,"""At this step, we are inspired by the KPIs provided by the Supply Chain Operations Reference SCOR…""  e  ""O indicador-chave do SCOR para ‘responsiveness’ é o ‘Order Fulfillment Cycle Time’, utilizado aqui para calcular a ‘Taxa de pensões concedidas antes do dia 25…’"""
SSSCM – Sustainable Service Supply Chain Management (hierarchical network),Não,"""…o trabalho de [8] que desenvolveu uma medida de Sustainable Service Supply Chain Management (SSSCM) performance… os autores desenvolveram uma rede hierárquica para SSSCM…"""
Grey-based hybrid framework (ELECTRE + VIKOR),Não,"""Reference [9] propôs um grey based hybrid framework para avaliar a performance ambiental de cadeias de suprimento de serviços, integrando os métodos ELECTRE e VIKOR…"""
Framework de medição baseado em Fuzzy AHP,Não,"""[10] desenvolveu um framework de medição de desempenho da cadeia de suprimentos de serviços… enfatizando uma metodologia baseada no extent fuzzy analytic hierarchy process…"""
AHP (Analytic Hierarchy Process) para avaliação de desempenho hospitalar,Não,"""Reference [11]… autores usam o método AHP para escolher o design mais apropriado da cadeia de suprimentos hospitalar com base em critérios de desempenho…"""
Eggers et al. 2021 - No Longer Out of Sight, No Longer Out of Mind - How ... ss Mining-Induced Transparency to Achieve Increased Process Awareness.pdf
Indicador,Usado_para_construir_medidor (Sim/Não),Trecho do texto que corrobora  
On-Time Delivery (OTD),Sim,"“every division was now required to use process mining to monitor their sub-processes, such as local warehousing and sales processes, in terms of OTD.”  "
Automation Rate,Sim,"“the expert team decided on KPIs, such as automation rates and OTD, and standardized process mining analyses to be implemented on the ﬁrm’s core business processes, such as procurement and warehousing.”  "
Warehouse Throughput Time,Sim,"“the organization faced the situation where ‘warehouse throughput times had been optimized to the limit, but we did not know why we were still losing time before shipping orders’ (Chief Process Ofﬁcer).”  "
Compliance (Pension Registration),Sim,"“After an initial analysis of the pension registration sub-process, the team found compliance problems and ineﬁcient communication patterns.”  "
Rework Rate,Sim,“AutoCorp’s production department analyzed sensor data from assembly to ﬁnd the root causes for high rework rates in the paint shop.”  
Key Performance Indicators (genérico),Não (apenas citado),"“The divisions tried to substantiate the claims with key performance indicators (KPIs), such as the rate of on-time delivery (OTD).”"
Bevacqua et al. 2014 - A data-driven prediction framework for analyzing and monitoring business process performances.pdf
"Tempo médio de permanência (Average Dwell Time – ADT);Sim;""“M = α × ADT"," where ADT is the average dwell time computed over all containers…​”"""
"Probabilidade de violação de SLA (Over-time/SLA Violation Likelihood);Sim;""“Then"," an alert can be eventually triggered for the process instance …​ if ℒM(τ(i]) > γ.”"""
"Cycle Time;Não (apenas citado);""Reference [7]: “Cycle time prediction: when will this case finally be finished?” (citado apenas como trabalho relacionado"," não utilizado no modelo proposto)"""
Berrocal et al. 2010 - Lean management of software processes and factories using business process modeling techniques.pdf
Modelo,Usado_para_construir_medidores?,Trecho_de_suporte
Key Performance Indicators (KPIs),Sim,“…it enables KPIs to be automatically generated to help users monitor and evaluate the areas they are responsible for (Figure 3b).”
Specula – método para definição de métricas alinhadas aos objetivos do projeto,"Não, apenas citado",“Specula [7] which includes a method to help project managers define metrics aligned with the project's objectives.”
Pika et al. 2017 - Mining Resource Profiles from Event Logs.pdf
ModeloIndicador,TipoUso,TrechoSuporte
Resource Behaviour Indicators – Skills,Constrói medidor,“we deﬁne a set of RBIs in each category (Figure 4)… 1. Skills ( What can a resource do? )”
Resource Behaviour Indicators – Utilisation,Constrói medidor,“2. Utilisation: What is a resource actually doing? Utilisation RBIs measure how active a resource is… Users can look at the number of activity instances completed …”
Resource Behaviour Indicators – Preferences,Constrói medidor,"“3. Preferences: What working behaviour does a resource often demonstrate? … we may learn about resources’ preferences by checking if they often multitask, execute only similar tasks …”"
Resource Behaviour Indicators – Productivity,Constrói medidor,"“4. Productivity: How good is a resource at what it does? Productivity RBIs aim to measure a resource’s results; for example, its results in terms of the timeliness, cost or quality of outputs …”"
Resource Behaviour Indicators – Collaboration,Constrói medidor,“5. Collaboration: How well does a resource work with other resources? It is important to measure the collaborative aspects of resource behaviour. RBIs in this category can help us to learn about a resource’s collaboration patterns …”
Indicadores de Risco de Processo (Process Risk Indicators),Somente citado,“In our own earlier work we presented process risk indicators for the identiﬁcation of case delays [Pika et al. 2013a; 2013b].”
Process Cubes,Somente citado,“Van der Aalst [2013] proposed the notion of process cubes whereby events can be ‘organized using different dimensions’ …”
Change-Point Detection em Séries Temporais,Somente citado,"“We use non-parametric tests for detecting changes in location (Mann–Whitney), changes in scale (Mood) or arbitrary distributional changes …”"
Outlier Detection em Séries Temporais,Somente citado,"“To deal with this issue, we use automatic techniques for time series analysis such as the detection of outliers [van der Loo 2010] …”"
Data Envelopment Analysis (DEA) – Pontuação de Produtividade,Constrói medidor,“We adopted DEA … to evaluate and compare resource productivity. … The productivity score for a given resource during a given time period is a value from 0 to 1 …”
Celino et al. 2007 - Semantic business process analysis.pdf
Not valid csv text, check the article
Carmo et al. 2017 - An analysis of strategic goals and non-functional requirements in business process management.pdf
Modelo,Usado_para_construir_medidores,Trecho_correspondente  
KPI,Sim,"“KPIs can model quantitative indicators, which are measurable and useful for monitoring the progress and success of strategic goals (Parmenter, 2015).”  "
KPI,Sim,"“KPIs are speciﬁed based on business goals matched with expected values, which are transformed into targets, including delimitations of deviations below and above the expected value (Friedenstab et al., 2012).”  "
BAM (Business Activity Monitoring),Sim,"“Extending BPMN for Business Activity Monitoring (Friedenstab et al., 2011): this paper proposes a BPMN extension that incorporates BAM concepts which aims to represent KPIs’ real-time scores for process activities.”  "
BSC (Balanced Scorecard),Não,"“Other techniques to model strategic goals are: Tropos, Security i* (Si*), Balanced Scorecard (BSC)… Although all these techniques are applicable to strategic goal modeling, they can target different purposes and work in different degrees of abstraction.”"
Candiello et al. 2012 - Quality and impact monitoring for local eGovernment services.pdf
Cyclomatic complexity metrics (Cardoso et al.," 2006);Usado para construir medidores;""[...] the static metrics to be used in measurements of the processes are similar to the ones used in software development", like the cyclomatic metrics," and can be computed thanks to the XPDL formal definitions found in the repositories."""
"Indicadores dinâmicos de tempo de transação e conclusão bem-sucedida;Usado para construir medidores;""Dynamic indicators can also be set", in the quality management frame, with a strong focus to the citizens," monitoring eventual time delays between process phases and other values connected to the QoS (like the right conclusion of the processes) that has an impact on the citizens."""
Kang and Han 2008 - A Business Activity Monitoring System Supporting Real-Time Business Performance Management.pdf
Modelo,Usado_para_construir_medidores,Trecho_corroboracao
Monthly of Supply (MOS),Sim,"“In the BAM system, MOS is selected as a KPI for real-time performance measurement … the minute-by-minute MOS value of each region is presented by the gauge on the upper world map.”"
Key Performance Indicator (KPI),Sim,“… many companies … want to derive and monitor Key Performance Indicator (KPI) … This requirement can be achieved by BAM system that collects and analyzes the related data in real-time …”
Process-based Performance Measurement Framework (PPMF),Não,"“In the previous research, authors … proposed process-based performance measurement framework (PPMF) for continuous process improvement …”"
Laumer et al. 2015 - The impact of business process management and appli ... acking systems on recruiting process performance - an empirical study.pdf
"Ciclo de tempo do processo (process cycle time / time-to-hire);Sim;""“The most common process dimension in staff recruitment is process time "," which is defined as the period of time between identifying and filling an open position… Process time is also widely known as time-to-hire.”""  "
"Custos do processo (process costs / cost-per-hire);Sim;""“The second most common performance dimension in recruiting is process cost "," which is defined as the aggregate cost incurred in hiring a new employee. The total process cost in recruiting is sometimes referred to as cost-per-hire.”""  "
"Qualidade do processo (process quality);Sim;""“The third performance dimension in recruiting"," process quality typically refers both to the quality of the applicant as well as to how satisfied stakeholders are with the newly hired candidate and with the entire recruiting process.”""  "
Wagner 2017 - Introduction to information and process modeling for simulation.pdf
Indicador,Usado para construir medidor?,Trecho que comprova  
Percentagem de vendas perdidas (Lost Sales Percentage),sim,"“The purpose of the simulation is to compute the percentage of lost sales, which is an important performance indicator.”"
Gourova et al. 2014 - Use of balanced scorecards for knowledge management roadmap.pdf
"Balanced Scorecard (BSC);Construir Medidores;""The strategy development process follows the Balanced Scorecard (BSC) approach of Kaplan and Norton [10]"";""The most important reason for using the BSC approach was that it easily links the objectives set with related measures"," targets and key performance indicators for monitoring of the implementation results."""
"Key Performance Indicators (KPI);Construir Medidores;""The development towards the targets should be measured with specific key performance indicators (KPI)."";""…links the objectives set with related measures"," targets and key performance indicators for monitoring of the implementation results."""
Ullah and Lai 2013 - A Systematic Review of Business and Information Technology Alignment.pdf
Not valid csv text, check the article
Tsappi and Papageorgiou 2023 - Towards Deriving Organizational Key Perfo ... Indicators in a Metaverse Workplace - A Systematic Literature Review.pdf
Modelo,Usado na Construção de Medidores? (Sim/Não),Trecho que Corrobora
Indicadores Financeiros/Contábeis Tradicionais,Sim,"“Traditionally, KPIs included only financial and accounting indicators [6].”"
Modelos Multidimensionais de KPIs,Sim,"“However, with the rapidly changing societal and technological environment, multi-dimensional models of KPIs have emerged [16].”"
Rank-Based Reviews (métricas de vendas),Sim,"“In the metaverse workplace, one performance measurement method for employees is rank-based reviews based on financial metrics such as sales performance.”"
Avatar Performance Appraisal System (A),Sim,"“This approach can be used to develop the Avatar Performance Appraisal System (A), which includes job performance (B), job satisfaction (C), and employee productivity (D) indicators [28].”"
Process Performance Management (PPM),Citado apenas,"Referência [43] citada como “‘Process performance management’,” sem detalhar aplicação ou construção efetiva de medidores no texto principal."
Jiang et al. 2025 - Research on Finance Risk Management based on Combination Optimization and Reinforcement Learning.pdf
Modelo,Uso,ExemploTrecho  
Sharpe Ratio,construir medidores,They also proposed a novel reward function based on the Sharpe ratio for the assessment of the developed portfolio management system.  
Sortino Ratio,construir medidores,"In practical applications, the reward function based on the Sortino ratio allows the agent to demonstrate enhanced adaptability and a superior return level in response to market fluctuations.  "
VaR (Value at Risk),construir medidores,VaR represents the maximum potential loss that a portfolio may sustain over a specified confidence interval.  
CVaR (Conditional Value at Risk),construir medidores,"To better capture tail risk, a reward function based on CVaR (Conditional Value at Risk) can be used, which is expressed as Equation 5.  "
Credit VaR,apenas citado,"...developing comprehensive measurement tools using indicators such as VaR, CVaR and credit VaR."
Sahli et al. 2024 - Performance Measurement of Reading Teaching-Learning ... - Case of Whole-Word and Syllabic Reading Methods in Primary Schools.pdf
Modelo,Utilização,Trecho de apoio
"Performance assessment model based on KRA/KPI (Arora & Kaur, 2015)",Apenas citado,"[2] Arora, A. and Kaur, S. (2015) “Performance assessment model for management educators based on kra/kpi.”"
"Excellent-teaching KPIs (Cabrera, Colbeck & Terenzini, 2001)",Apenas citado,"“For instance, authors, in [3], proposed a study based on models of excellent teaching… key  performance  indicators to become an excellent teacher.”"
"Distances from the Expected Performance – DEP (Murillo, 2010)",Usado para construir medidores,"“Authors, in [14], have proposed a set of multiple types of Distances from the Expected Performance (DEP)…  Based on this point, we describe the different reading KPIs.”"
"Indicadores de actividade e progresso de aprendentes (Safsouf, 2021)",Usado para construir medidores,"“Authors, in [15] highlighted the various ways in which we can analyze and provide information on the activity of learners in a course…  Based on the research works of [14] and [15], we have identified the following KPIs.”"
"KPI set for mission and vision of an engineering college (Sivaraman et al., 2014)",Apenas citado,"“Ilango Sivaraman et al. presented a method for developing KPIs for the mission and vision statements of an engineering college in Muscat, Oman.”"
"Deriving KPI from Business Process Model (Repa, 2019)",Apenas citado,"“[11] Repa , V. (2019) “Deriving key performance indicators from business process model.””"
Kerpedzhiev et al. 2021 - An Exploration into Future Business Process Ma ... Capabilities in View of Digitalization - Results from a Delphi Study.pdf
Modelo,Usado para construir medidores?,Trecho de corroboração  
Process and Enterprise Maturity Model (PEMM) – Hammer (2007),Não,“A seminal pragmatic framework is included in Hammer’s (2007) Process and Enterprise Maturity Model.”  
BPM Capability Framework – de Bruin & Rosemann (2007),Sim,"“…a comprehensive and widely adopted framework from academia, which also plays a central role in our work, is that of de Bruin and Rosemann (2007)… Hence, we used de Bruin and Rosemann’s (2007) framework to structure our results and assess their novelty.”  "
Modelos de Maturidade de BPM (genéricos),Não,"“Capability frameworks have shaped up as an effective management tool due to their close relation to maturity models, which support fit/gap analyses, the derivation of roadmaps, and the prioritization of BPM investments.”"
Janiesch et al. 2014 - Optimizing the performance of automated business processes executed on virtualized infrastructure.pdf
Indicador,Usado_para_construir_medidores?,Trecho_do_texto_que_corrobor a_informação
Turnaround time,Sim,"“the performance of a process can be monitored by metrics such as the turnaround time, i.e., the total execution time of a process instance.”"
Idle time,Não (apenas citado),“Its turnaround time consists of idle time (the time before a resource is scheduled)…”
Change-over time,Não (apenas citado),"“…change-over time (when a resource has been scheduled but not started processing yet, e.g., while data is copied ) …”"
Processing time,Não (apenas citado),"“…and the actual processing time (when the scheduled resource performs the actual work), which may be suspended (paused) …”"
Wait time,Não (apenas citado),“Most BPM projects which target the optimization of process turnaround time are of organizational nature and aim at reducing wait and suspension times of manually performed tasks …”
Suspend time,Não (apenas citado),“…aim at reducing wait and suspension times of manually performed tasks …”
Cumprimento de SLA (SLA fulfillment),Sim,“processes can reduce the total processing times of automated tasks so that the processes can fulfill the negotiated SLAs …”
Ali et al. 2025 - Data-Driven Identification and Analysis of Waiting Times in Business Processes - A Systematic Literature Review.pdf
Modelo,Tipo_uso,Trecho_citado
Devil’s Quadrangle,Apenas citado,“These performance dimensions are part of the so called Devil’s Quadrangle (Reijers and Mansar 2005 ; Mansar and Reijers 2007 ). The Devil’s Quadrangle suggests that improving one dimension of a process can potentially negatively impact the performance of another dimension.”
Framework temporal de Milani & Maggi (2018),Apenas citado,"“Milani and Maggi ( 2018 ) propose a framework for categorizing process mining techniques which measure performance of business processes. This paper suggests that the dimensions of time can be measured with a variety of metrics, such as process duration, fragment duration, activity duration, waiting duration, and delay duration.”"
Cycle Time (tempo de ciclo),Construção de medidores,“A recurrent performance measure in the ﬁeld of Business Process Management (BPM) is cycle time ( Dumas et al. 2018 ): the time from the start of the ﬁrst activity instance until the end of the last activity instance of a case. The cycle time of a case is the sum of its processing time and waiting time.”
Zhang et al. 2023 - File processing security detection in multi-cloud environments - a process mining approach.pdf
"Performance Spectrum;Sim;""Out of all the available multi-dimensional process analysis technologies", we have selected the performance spectrum [31] as one of the latest techniques for identifying unusual patterns from a performance perspective… Rather than relying on a process model," the performance spectrum enables fine-grained performance analysis by combining all observed flows between two process steps based on their performance over time [32]."""
"Throughput (tempo de execução/vazão por atividade);Sim;""The throughput of the model discovered for data file processing in multi-cloud environments is shown in Fig. 4. In this chart", the execution time of each activity is annotated," with darker colors indicating longer processing times."""
Ammann et al. 2025 - How do Process Mining Users Act, Think, and Feel - An Explorative Study of Process Mining Use Patterns.pdf
Modelo,Usado para construir medidores?,Trecho que corrobora
Process efficiency,Sim,"“...improve process efficiency, monetary key performance indicators, and non-monetary performance indicators such as employee security”"
Monetary key performance indicators (KPIs),Sim,"“...improve process efficiency, monetary key performance indicators...”"
Non-monetary performance indicators (ex.: employee security),Sim,"“...improve process efficiency, monetary key performance indicators, and non-monetary performance indicators such as employee security”"
Key Performance Indicator (KPI),Sim,"“He can see how efficient his employees are and can address this accordingly. Look here, I noticed that the KPI is going down.”"
Seel et al. 2005 - Evaluating e-government - A process-oriented approach.pdf
Not valid csv text, check the article
Ibrahim and Fletcher 2013 - Efficient processing of containment queries on nested sets.pdf
Not valid csv text, check the article
Lamghari et al. 2018 - A set of indicators for BPM life cycle improvement.pdf
Modelo,Usado_para_construir_medidores?,Trecho  
"Quatro dimensões de desempenho (tempo,custo,qualidade,flexibilidade) – Dumas et al. [1]",Não,"“In [1], the authors focus on how redesigning business processes by presenting four dimensions to measure process performance quantitatively (time, cost, quality and flexibility)”  "
Métricas apenas na fase Monitor – Classical BPM [4],Não,"“further in [4], the authors define metrics only in the monitor phase by controlling data related to business process”  "
"Métricas de Desenho (Relevance, Correctness, Clarity, Completeness, Consistency)",Sim,"“We define the set of indicators related to the design phase… Throughout this logic, we propose the order of priority as presented in table 3”  "
"Métricas de Análise (Operation time, Cycle time, Throughput rate, Efficiency, Productivity, Utilization)",Sim,“In this phase we define a set of indicators named analysis metrics (see Table 4). These indicators will be applied on the ‘to-be’ process”  
"Métricas de Tecnologia (System, Network, Support application Uptime)",Sim,"“we will define two classes of metrics (see Table 5): Technology metrics and Execution metrics… System Uptime, Network Uptime, Support application Uptime”  "
"Métricas de Execução (Time reference, Frequencies, Costs, Quality)",Sim,“Execution Metrics [25] … Time reference… Frequencies… Cost… Quality”  
"KPIs – Eficiência, Adaptabilidade, Efetividade",Sim,"“we grouped our KPIs into (see Table 6): process efficiency, process effectiveness and process adaptability”  "
"Métricas de Aprimoramento (Process Mining): Critérios de Qualidade + Perspectivas de Controle, Organizacional, Caso, Tempo",Sim,"“Table 7 illustrates five types of metrics used in the process mining architecture [34] … Quality Criteria are: Fitness, Precision, Generalization and Simplicity … control-flow perspective… organizational perspective … case perspective … time perspective”"
Šiška 2015 - Factors influencing design and outcomes of performance management systems.pdf
"Technology Acceptance Model (TAM);Sim;""A hypothesized model was developed based on three theories; TAM", ECT," and TPB."""
"Expectation Confirmation Theory (ECT);Sim;""A hypothesized model was developed based on three theories; TAM", ECT," and TPB."""
"Theory of Planned Behavior (TPB);Sim;""A hypothesized model was developed based on three theories; TAM", ECT," and TPB."""
Haouas et al. 2022 - AN OBJECTIVE-BASED APPROACH FOR DEFINING AND SELECTING THE MOST RELEVANT KPIS FOR MEASURING BUSINESS PROCESS PERFORMANCE.pdf
Modelo,Usado_no_artigo_para_construir_medidores?,Trecho_do_texto_que_corrobor a
Goal Question Metric (GQM),sim,"“In our approach, we propose to exploit during this phase, the Goal Question Metric (GQM) method as well as the SMART criteria. Indeed, the combination of these two methods allows us to define clear objectives as well as significant KPIs.”"
KPI4PPI,não,"“The work of (Cherni and al. 2019), proposed a KPI4PPI approach for process improvement by first defining and configuring target values of KPIs, then using process mining techniques to discover and analyze deviations from those values…”"
GPI model,não,"“The work of (Simeunovic and al. 2020), proposed a new model of process performance measurement (PPM), named GPI model. The objective of this model is to help companies measure the performance of their processes, by selecting PPIs…”"
PPINOT metamodel,não,"“The work of (del Río-Ortega and al. 2013), proposed a PPINOT metamodel, which is a metamodel of PPIs, which is very flexible. It provides automatic semantic mapping that enables automated reasoning.”"
Analytic Hierarchy Process (AHP),não,"“The work of (Ammar Elhadja mor and Ayachi Ghanouchi 2017), proposed an approach using the Analytic Hierarchical Process (AHP) method to solve multi-criteria decision-making to prioritize key performance measures…”"
Pourmirza et al. 2019 - BPMS-RA - A Novel Reference Architecture for Business Process Management Systems.pdf
Modelo,Usado para construir medidores?,Trecho que corrobora
KPIs (Key Performance Indicators),Sim,"“For example, it can produce valuable insights regarding the duration, costs, and quality of previously executed process instances by using some KPIs.”"
Garcia et al. 2015 - A software process line for service-oriented applications.pdf
Not valid csv text, check the article
Hullinger 1999 - Taylor Enterprise Dynamics.pdf
Modelo,Usado_para_construir_medidores,Trecho_correspondente
Relatórios predefinidos,sim,“Results of each of the model’s runs can be viewed through accessing predefined reports …”
Relatórios definidos pelo usuário,sim,“Results of each of the model’s runs can be viewed through accessing … user-defined reports …”
Gráficos predefinidos,sim,“Results of each of the model’s runs can be viewed through … predefined graphs …”
Gráficos definidos pelo usuário,sim,“Results of each of the model’s runs can be viewed through … user defined graphs.”
Performance measure(s),sim,“… and the performance measure(s) against which the results of each scenario can be compared or optimized.”
Goldszmidt et al. 2001 - On the quantification of e-business capacity.pdf
Modelo,Status,Trecho de Corroboração  
e-Factory cost model,Construir,“We define a e-Factory cost model by translating traditional cost accounting practices … The focus of the e-Factory cost model is to quantify the cost of each type of e-Business transaction.”  
Effective e-Business Capacity (EEC),Construir,“we propose an approach for defining and quantifying effective e-Business capacity that allows us to translate quality of service objectives into the number of users that a web site can support.”  
Utilization of capacity,Apenas citado,“• Utilization of capacity . What percentage of capacity is used by service X and/or customer Y? How much capacity is unused?”  
Cost of capacity,Apenas citado,“• Cost of capacity . What is the cost of the capacity consumed for each service and/or customer? What is the cost of unused capacity?”  
Revenue benefits,Apenas citado,“• Revenue benefits . What is the revenue benefit of applying available capacity to service X versus service Y? How can business opportunities be optimized with available capacity?”  
